Date,Price,Fees(BTC),MinerRevenuePercentage,Issuance(BTC)
2018-04-01T00:00:00+00:00,6804.52487931035,26.18224896528444,0.013979998508512469,1850.2995949390247
2018-04-02T00:00:00+00:00,7033.25960958504,25.56625463712462,0.013580263313713769,1862.7621455716467
2018-04-03T00:00:00+00:00,7420.80051548802,25.585096448734678,0.013440794169906045,1884.604377375191
2018-04-04T00:00:00+00:00,6780.54360140269,25.46612769514372,0.013414265148306808,1878.7163302032923
2018-04-05T00:00:00+00:00,6798.42261659848,25.33124453825174,0.013281446135709276,1887.6267889278809
2018-04-06T00:00:00+00:00,6610.49234979544,26.450384604720185,0.014057224966203529,1867.2984403118958
2018-04-07T00:00:00+00:00,6886.46947194623,26.5609666541307,0.013800457192109507,1915.1361352729089
2018-04-08T00:00:00+00:00,7009.99610432496,25.883043618615247,0.013374647175011852,1927.3066183637952
2018-04-09T00:00:00+00:00,6736.89282378726,25.41841038378869,0.013192732881797474,1916.0807910683209
2018-04-10T00:00:00+00:00,6816.71861542957,25.147262893316217,0.012945380032549587,1932.820692184781
2018-04-11T00:00:00+00:00,6944.78585710111,24.80194275415155,0.012702267117877898,1942.7806056616832
2018-04-12T00:00:00+00:00,7904.33027527762,26.284754793631596,0.013450793033888526,1940.558029953973
2018-04-13T00:00:00+00:00,7919.06469462303,27.453069404427083,0.013892241948853551,1955.8007762097263
2018-04-14T00:00:00+00:00,8006.41794330801,27.0573097113742,0.013903694616639603,1925.3881791835106
2018-04-15T00:00:00+00:00,8342.27110140269,26.663692022452985,0.01361549212453806,1939.4021567855718
2018-04-16T00:00:00+00:00,8046.98213354763,26.49891745839721,0.013685625369309395,1917.2893871873755
2018-04-17T00:00:00+00:00,7887.73795791935,26.49859240609843,0.01358937288104026,1930.7532137889536
2018-04-18T00:00:00+00:00,8162.83486177674,26.341838014087262,0.013448819102864697,1939.4090620653344
2018-04-19T00:00:00+00:00,8272.96731589714,26.54766947482703,0.013320570281944505,1975.1079293071678
2018-04-20T00:00:00+00:00,8839.5011320865,26.914158915474736,0.013770878623840454,1942.2819381437719
2018-04-21T00:00:00+00:00,8863.54082904734,27.04567587854123,0.013783999217007766,1947.9341958758005
2018-04-22T00:00:00+00:00,8800.95908708358,26.34051352872415,0.013384607379323359,1954.4424213913255
2018-04-23T00:00:00+00:00,8930.78463354763,26.663058452634054,0.013573625949362376,1949.19961871741
2018-04-24T00:00:00+00:00,9652.21378872005,31.682550693551924,0.015942685891553322,1953.9871663777337
2018-04-25T00:00:00+00:00,8855.50893658679,39.4586090118584,0.021143942209665235,1901.926270580517
2018-04-26T00:00:00+00:00,9264.72742694331,42.96824429662253,0.023113953131377193,1884.4979867579525
2018-04-27T00:00:00+00:00,8981.33079018118,44.43582727329174,0.023962250783316628,1870.8107384132086
2018-04-28T00:00:00+00:00,9341.82468468732,43.8529667916289,0.02399886354455205,1836.9593961115577
2018-04-29T00:00:00+00:00,9396.99762974869,42.80280708892494,0.02320321730680343,1854.214471597613
2018-04-30T00:00:00+00:00,9228.7264836353,42.03615039280902,0.022624649244190113,1864.6251626479116
2018-05-01T00:00:00+00:00,9072.16875745178,40.74845548495887,0.021773323713842087,1878.4220173169226
2018-05-02T00:00:00+00:00,9204.12764056108,40.46176164808842,0.0217393766180623,1862.3692651523074
2018-05-03T00:00:00+00:00,9750.70014640561,40.32493151832681,0.021575784030972787,1865.510607008269
2018-05-04T00:00:00+00:00,9696.64290999416,40.3616383122853,0.02175447357074593,1847.9467811322354
