Date,hash-rate,market-price
2012-04-04T00:00:00,11.590909036432338,4.900000000000006
2012-04-08T00:00:00,10.62684273628064,4.977142857142864
2012-04-12T00:00:00,11.054226628935412,4.904285714285721
2012-04-16T00:00:00,10.85504496935859,4.912857142857149
2012-04-20T00:00:00,10.409910140375459,5.02428571428572
2012-04-24T00:00:00,11.418405202413993,5.200000000000007
2012-04-28T00:00:00,11.03741817897722,5.244285714285721
2012-05-02T00:00:00,11.861743226742549,5.107142857142863
2012-05-06T00:00:00,12.266613895083912,5.09285714285715
2012-05-10T00:00:00,12.79604295144197,5.135714285714293
2012-05-14T00:00:00,12.440433651038498,5.074285714285722
2012-05-18T00:00:00,11.028251243200405,5.05285714285715
2012-05-22T00:00:00,11.385192410670077,5.11285714285715
2012-05-26T00:00:00,11.071174794464062,5.15428571428572
2012-05-30T00:00:00,10.935916830795733,5.161428571428577
2012-06-03T00:00:00,11.423255110468626,5.1828571428571495
2012-06-07T00:00:00,12.055997233303685,5.290000000000006
2012-06-11T00:00:00,12.037097903264025,5.497142857142863
2012-06-15T00:00:00,12.229316411827556,5.687142857142862
2012-06-19T00:00:00,12.221016409317544,6.094285714285719
2012-06-23T00:00:00,12.334991206213417,6.55571428571429
2012-06-27T00:00:00,12.285677909913117,6.637142857142862
2012-07-01T00:00:00,12.506378710690003,6.578571428571435
2012-07-05T00:00:00,12.534480552513617,6.682857142857148
2012-07-09T00:00:00,13.36640779497429,6.721428571428577
2012-07-13T00:00:00,13.445366378383488,6.950000000000007
2012-07-17T00:00:00,13.010039992404378,7.468571428571435
2012-07-21T00:00:00,13.632312969008792,8.574285714285718
2012-07-25T00:00:00,13.691502271615333,9.311428571428577
2012-07-29T00:00:00,14.844610400976931,9.041428571428577
2012-08-02T00:00:00,15.399649853477944,9.030000000000006
2012-08-06T00:00:00,15.634884278863916,9.968571428571433
2012-08-10T00:00:00,15.72166439512033,11.058571428571431
2012-08-14T00:00:00,16.58047491994676,11.511428571428572
2012-08-18T00:00:00,17.112329271753,12.347142857142858
2012-08-22T00:00:00,17.798766797434983,13.057142857142862
2012-08-26T00:00:00,17.797756612825186,11.088571428571433
2012-08-30T00:00:00,18.374648902671417,10.811428571428577
2012-09-03T00:00:00,18.75337888974597,11.064285714285717
2012-09-07T00:00:00,19.972034439372326,10.585714285714289
2012-09-11T00:00:00,20.547995927547824,10.947142857142861
2012-09-15T00:00:00,19.954355670345272,11.262857142857145
2012-09-19T00:00:00,20.7387550782879,11.667142857142862
2012-09-23T00:00:00,21.9714436561213,12.264285714285718
2012-09-27T00:00:00,21.94642792222307,12.432857142857145
2012-10-01T00:00:00,21.865069523994265,12.361428571428577
2012-10-05T00:00:00,21.5211280844035,12.614285714285723
2012-10-09T00:00:00,21.26974887681514,12.841428571428578
2012-10-13T00:00:00,22.299722286603043,12.455714285714294
2012-10-17T00:00:00,22.364799297167057,12.13142857142858
2012-10-21T00:00:00,22.63454363415556,12.000000000000009
2012-10-25T00:00:00,23.323433094882198,11.905714285714295
2012-10-29T00:00:00,24.108880794990466,11.541428571428579
2012-11-02T00:00:00,24.456806621414565,11.012857142857149
2012-11-06T00:00:00,24.028956854555865,10.955714285714295
2012-11-10T00:00:00,24.779861756260722,10.937142857142868
2012-11-14T00:00:00,24.36685165084413,11.058571428571438
2012-11-18T00:00:00,23.16903827558985,11.197142857142866
2012-11-22T00:00:00,24.23419043895829,11.63142857142858
2012-11-26T00:00:00,24.664807840637703,12.081428571428578
2012-11-30T00:00:00,26.469326393822847,12.484285714285722
2012-12-04T00:00:00,26.277317515142233,12.601428571428576
2012-12-08T00:00:00,23.420025554852618,13.01571428571429
2012-12-12T00:00:00,22.86083034641303,13.518571428571432
2012-12-16T00:00:00,21.768397880340085,13.682857142857147
2012-12-20T00:00:00,20.774048096928446,13.67714285714286
2012-12-24T00:00:00,21.683511032047445,13.552857142857146
2012-12-28T00:00:00,22.48151481376916,13.525714285714288
2013-01-01T00:00:00,23.296847089742045,13.527142857142861
2013-01-05T00:00:00,22.91605405932753,13.551428571428573
2013-01-09T00:00:00,22.684235106415855,13.512857142857143
2013-01-13T00:00:00,21.861217637373823,13.877142857142859
2013-01-17T00:00:00,21.045831321425055,14.30571428571429
2013-01-21T00:00:00,21.345826724033067,15.052857142857146
2013-01-25T00:00:00,22.01504723754331,16.595714285714287
2013-01-29T00:00:00,21.879080394275498,18.021428571428576
2013-02-02T00:00:00,23.19092634999567,19.202857142857145
2013-02-06T00:00:00,24.872657597110777,20.75714285714286
2013-02-10T00:00:00,24.913767390425225,21.53714285714286
2013-02-14T00:00:00,24.632979599764067,23.52571428571429
2013-02-18T00:00:00,27.30794905582909,25.704285714285714
2013-02-22T00:00:00,30.88808742659257,27.859999999999992
2013-02-26T00:00:00,31.579742429385167,29.455714285714283
2013-03-02T00:00:00,32.12481165972719,30.91714285714286
2013-03-06T00:00:00,34.04628678696904,33.604285714285716
2013-03-10T00:00:00,34.33728873395628,39.24285714285714
2013-03-14T00:00:00,34.46136204464808,44.88571428571429
2013-03-18T00:00:00,39.47464260233846,46.60000000000001
2013-03-22T00:00:00,45.957917963282966,52.28142857142858
2013-03-26T00:00:00,52.65649086106915,64.86
2013-03-30T00:00:00,54.58932463587121,76.48285714285714
2013-04-03T00:00:00,57.202878552989596,90.69857142857143
2013-04-07T00:00:00,59.22531030867792,116.17000000000003
2013-04-11T00:00:00,61.82513902987877,161.57428571428574
2013-04-15T00:00:00,64.29767656877043,155.52714285714288
2013-04-19T00:00:00,66.69336865081573,96.78571428571429
2013-04-23T00:00:00,69.62349388943935,100.91714285714285
2013-04-27T00:00:00,73.03534530472405,133.14000000000001
2013-05-01T00:00:00,75.22107936937616,140.57714285714286
2013-05-05T00:00:00,74.77227218689443,123.36857142857141
2013-05-09T00:00:00,78.78366499259288,110.0257142857143
2013-05-13T00:00:00,85.00907721271605,114.12857142857145
2013-05-17T00:00:00,86.38639768239332,114.98285714285716
2013-05-21T00:00:00,82.54433237547475,118.6042857142857
2013-05-25T00:00:00,85.56327812164227,123.28999999999999
2013-05-29T00:00:00,96.41586953953076,128.73428571428573
2013-06-02T00:00:00,104.94937679766151,130.63571428571427
2013-06-06T00:00:00,123.88331782075822,126.48142857142855
2013-06-10T00:00:00,133.24350425534809,118.03285714285714
2013-06-14T00:00:00,137.9744941954237,108.8371428571429
2013-06-18T00:00:00,143.4983814914287,103.81000000000003
2013-06-22T00:00:00,142.40751493314943,103.95857142857146
2013-06-26T00:00:00,148.73608597706428,107.91000000000005
2013-06-30T00:00:00,160.35718925022599,103.37428571428575
2013-07-04T00:00:00,168.59542487969742,95.81571428571431
2013-07-08T00:00:00,182.8751500302614,81.79714285714287
2013-07-12T00:00:00,203.8510744098401,76.4657142857143
2013-07-16T00:00:00,212.8017373082041,88.0957142857143
2013-07-20T00:00:00,215.3361739396125,95.86142857142856
2013-07-24T00:00:00,237.86930249973366,92.87
2013-07-28T00:00:00,249.0994826689177,93.60428571428574
2013-08-01T00:00:00,267.91812547360365,98.51857142857145
2013-08-05T00:00:00,298.2627314366096,104.03571428571432
2013-08-09T00:00:00,336.66209222397435,105.55428571428573
2013-08-13T00:00:00,376.2751368364114,104.72571428571429
2013-08-17T00:00:00,417.64607194077456,103.43714285714286
2013-08-21T00:00:00,445.9833469173606,100.96142857142858
2013-08-25T00:00:00,514.4285926635633,104.93285714285717
2013-08-29T00:00:00,540.642312281752,111.37428571428573
2013-09-02T00:00:00,621.4730333416313,118.93857142857144
2013-09-06T00:00:00,698.7825167292746,126.28857142857144
2013-09-10T00:00:00,723.487776940836,122.83285714285716
2013-09-14T00:00:00,808.7310737988183,121.69428571428573
2013-09-18T00:00:00,938.5978664429738,125.48142857142861
2013-09-22T00:00:00,1003.7840543369235,127.01285714285719
2013-09-26T00:00:00,1188.3556169366873,123.87000000000002
2013-09-30T00:00:00,1288.6785719866778,124.37428571428573
2013-10-04T00:00:00,1327.3843201087675,123.22000000000001
2013-10-08T00:00:00,1498.0842413682387,120.12000000000002
2013-10-12T00:00:00,1655.8821947402787,123.75
2013-10-16T00:00:00,1998.7875744573157,128.51571428571427
2013-10-20T00:00:00,2489.9831825956585,140.96142857142857
2013-10-24T00:00:00,2753.06018355295,169.88285714285715
2013-10-28T00:00:00,3154.2651073280254,188.72999999999996
2013-11-01T00:00:00,3557.2878842719365,197.81571428571425
2013-11-05T00:00:00,3789.469210697324,207.1585714285714
2013-11-09T00:00:00,3802.868954489952,236.61714285714282
2013-11-13T00:00:00,4147.204872727961,306.33142857142855
2013-11-17T00:00:00,4600.748712702582,368.07714285714286
2013-11-21T00:00:00,4837.318485408744,477.0671428571428
2013-11-25T00:00:00,4890.88994822549,660.2771428571428
2013-11-29T00:00:00,5159.239662198924,835.2299999999998
2013-12-03T00:00:00,5747.665809673451,988.5157142857141
2013-12-07T00:00:00,6364.947624458908,1067.7499999999998
2013-12-11T00:00:00,6948.166596301985,915.5171428571427
2013-12-15T00:00:00,7626.345870173981,857.4099999999999
2013-12-19T00:00:00,8450.317119995249,816.2871428571425
2013-12-23T00:00:00,9325.823474388084,663.9542857142853
2013-12-27T00:00:00,9731.244641570196,643.5999999999996
2013-12-31T00:00:00,10063.544648256046,700.8828571428567
2014-01-04T00:00:00,10467.423254797186,738.0242857142852
2014-01-08T00:00:00,11760.629686481998,817.0428571428567
2014-01-12T00:00:00,13407.560897338728,848.9971428571423
2014-01-16T00:00:00,14567.21301322149,840.2299999999996
2014-01-20T00:00:00,15605.925980390619,820.7457142857138
2014-01-24T00:00:00,15542.38393649655,819.0942857142852
2014-01-28T00:00:00,17331.990579226876,811.8085714285709
2014-02-01T00:00:00,17822.991987249763,789.4857142857138
2014-02-05T00:00:00,19318.627678487515,803.2171428571426
2014-02-09T00:00:00,21050.05453471475,785.4128571428568
2014-02-13T00:00:00,21315.11098354659,712.4185714285712
2014-02-17T00:00:00,22916.071284494206,662.8657142857139
2014-02-21T00:00:00,25945.390872017462,634.8971428571427
2014-02-25T00:00:00,27225.087107952782,607.2042857142854
2014-03-01T00:00:00,28674.53967216545,581.9271428571427
2014-03-05T00:00:00,28823.999136229042,584.4599999999998
2014-03-09T00:00:00,29671.474494862923,636.4871428571425
2014-03-13T00:00:00,31676.67003150208,642.1999999999997
2014-03-17T00:00:00,32922.879427626074,634.9928571428569
2014-03-21T00:00:00,33714.16825697453,627.865714285714
2014-03-25T00:00:00,37064.45713479384,590.3485714285714
2014-03-29T00:00:00,40937.454661283635,559.93
2014-04-02T00:00:00,41778.36544537938,506.32
